CAC40,Nikkei225
4682.299805,13973.73047
4509.27002,13942.08008
4397.319824,13544.36035
4266,13237.88965
4100.640137,13039.69043
4299.359863,12803.7002
4377.180176,13334.75977
4314.339844,13094.58984
4491.850098,13168.41016
4453.620117,13019.41016
4400.450195,12666.04004
4482.600098,13072.87012
4196.660156,12212.23047
4332.660156,12214.75977
4324.870117,11920.86035
4163.379883,11893.16016
4080.75,10938.13965
3176.48999,8276.429688
3329.919922,8693.820313
3193.790039,7649.080078
3487.070068,8576.980469
3469.120117,8583
3291.469971,8462.389648
2881.26001,7910.790039
3262.679932,8512.269531
2988.01001,7917.509766
3213.600098,8235.870117
3225.899902,8588.519531
3116.209961,8739.519531
3349.689941,8859.55957
3299.5,8836.799805
3016.75,8230.150391
2849.139893,7745.25
2973.919922,7994.049805
3122.790039,8076.620117
2997.860107,7779.399902
2750.550049,7416.379883
2702.47998,7568.419922
2534.449951,7173.100098
2705.629883,7569.279785
2791.139893,7945.959961
2840.620117,8626.969727
2958.73999,8749.839844
2974.179932,8964.110352
3091.959961,8907.580078
3102.850098,8707.990234
3159.850098,8977.370117
3312.590088,9432.830078
3169.050049,9265.019531
3227.969971,9225.80957
3277.649902,9522.5
3339.050049,9768.009766
3326.139893,10135.82031
3221.27002,9786.259766
3129.72998,9877.389648
3119.51001,9816.070313
2983.100098,9287.280273
3218.459961,9395.320313
3366.449951,9944.549805
3426.27002,10356.83008
3521.139893,10412.08984
3495.27002,10597.33008
3615.810059,10238.2002
3693.139893,10534.13965
3598.76001,10187.11035
3734.889893,10444.33008
3827.840088,10370.54004
3739.139893,10265.98047
3649.899902,9731.870117
3799.610107,10016.38965
3827.600098,10257.55957
3808.23999,10282.99023
3607.689941,10034.74023
3707.290039,9789.349609
3806.01001,9770.30957
3729.360107,9497.679688
3721.449951,9081.519531
3846.620117,10022.58984
3803.719971,10107.87012
3794.439941,10142.04981
3912.72998,10494.70996
3936.330078,10546.44043
4045.139893,10798.32031
3954.379883,10982.09961
3820.780029,10590.54981
3739.459961,10198.04004
3563.76001,10057.08984
3599.070068,10092.19043
3769.540039,10123.58008
3708.800049,10126.03027
3910.419922,10368.95996
3927.399902,10751.25977
3925.439941,10824.71973
3988.929932,10996.37012
4034.22998,11286.08984
4050.540039,11204.33984
3986.629883,11102.17969
3951.300049,10914.45996
3816.98999,11057.40039
3392.590088,10364.58984
3560.360107,10462.50977
3430.73999,9784.540039
3515.060059,9762.980469
3455.610107,9901.19043
3555.52002,9705.25
3687.209961,9995.019531
3519.72998,9737.480469
3348.370117,9203.709961
